Date,Open,High,Low,Close,Volume,Return,MA5,MA10,MA20,Price_Change,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Target
2020-02-24,-1.719499400627733,-1.7276176079014556,-1.7283622906461058,-1.7141839955669804,0.4696727281015959,-0.7559089263875428,-1.6795639675134433,-1.7092235368331992,-1.7508682213884397,0.06739244901753416,-0.34300114047429725,-0.3058836678980323,-0.27084515659493447,-1.8080034112190282,-1.744511204601688,0
2020-02-25,-1.7165093005991576,-1.7157042682663608,-1.7405769062515113,-1.7022673763404252,0.20469167817012993,0.30709420009311245,-1.6795639675134433,-1.715031125107218,-1.7542856870286003,0.26956981257159207,-0.3692434553180481,-0.3209856210299522,-0.2832672864806186,-1.811985486817625,-1.7475047413075464,1
2020-02-26,-1.7344495039809682,-1.7335744089834477,-1.7466845847270989,-1.723121561012866,1.3749553956050664,-0.5340794243273946,-1.6890266981291453,-1.725118036960075,-1.7587905534809503,0.20217732690541648,-0.7934136518031408,-0.3487353350687944,-0.29891552631566065,-1.815540113256341,-1.7532836286188376,0
2020-02-27,-1.722489621497186,-1.736552761952937,-1.7558456828341749,-1.738017234020091,1.4121371397308489,-0.3856730272200275,-1.7002636456097269,-1.7367332757009537,-1.758945911504984,-0.4043546436608215,-0.725074226568309,-0.3811513651123794,-0.3181046447228803,-1.8151885012813003,-1.7539958356921344,0
2020-03-02,-1.78826913073461,-1.7544224834295812,-1.7985971391709805,-1.7678083779826024,2.3114602902126773,-0.777443222433001,-1.7168233640197859,-1.751405147486928,-1.7617420504050554,0.4043546669618877,-0.8701999090447198,-0.42948854798710023,-0.34340351219859994,-1.8089425298108899,-1.7667250866320816,0
2020-03-03,-1.7254792090696096,-1.736552366698098,-1.749737916250962,-1.7290794665222669,0.8545053821220971,1.0269361943000845,-1.7197804322395316,-1.7599637117208171,-1.7609653234985154,-0.13478490916945313,-0.7207120179535147,-0.43173551612215105,-0.3641014516952387,-1.8103621985000447,-1.763530203236519,1
2020-03-04,-1.7045493547035302,-1.7246391715211908,-1.7436305763370112,-1.7112047397343724,0.5297881579326706,0.46426311071155707,-1.721554689216024,-1.7608807037074405,-1.76236336660954,-0.20217736085702848,-0.7493224791385611,-0.4155272627436293,-0.3773211120218381,-1.810568205658708,-1.7662940056244512,1
2020-03-05,-1.6866100230690155,-1.7008132929924842,-1.7069869463655474,-1.696309672882963,0.28500104566351553,0.3832506704869174,-1.7162319583981596,-1.7630203862278069,-1.7637614413273783,-0.26956973584050886,-0.6121106798543422,-0.38755319161195756,-0.38213777994460657,-1.8119329977979306,-1.7678044891085305,1
2020-03-06,-1.716509717091935,-1.7335745173913117,-1.7558457437870412,-1.743975543633369,0.9444929952351019,-1.2169525241258874,-1.7174148097530253,-1.7694393301341707,-1.7691983505678837,-0.6739243847492781,-0.8293840260480319,-0.4043575249752181,-0.38944939916532906,-1.8156960472286023,-1.7753490532063558,0
2020-03-09,-1.7912593398547045,-1.796118983883083,-1.8138657857780176,-1.80057897982966,2.6949727300424495,-1.4818383860957705,-1.7239204721489825,-1.781360246691222,-1.7761886609434472,-0.2695697447803396,-0.9561276287799654,-0.46385937329293025,-0.4075444397647325,-1.809171727934968,-1.797339348865067,0
