Ticker,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW
Price,Open,High,Low,Close,Volume
Date,,,,,
2020-01-02,299.2246532158866,305.07415771484375,299.2246532158866,305.07415771484375,31754120
2020-01-03,309.5738275497054,310.4737514670011,301.9244742526924,305.524169921875,41811268
2020-01-06,299.67467370090714,301.0245596184788,298.7747497558594,298.7747497558594,45343057
2020-01-07,299.2247046324479,299.67466659430124,293.82516109020827,296.5249328613281,50879181
2020-01-08,292.47527520464837,299.67466659430124,292.47527520464837,296.5249328613281,37567748
2020-01-09,301.4744945384838,303.72430419921875,300.1246087420428,303.72430419921875,31481504
2020-01-10,306.42409383917067,306.87405579781847,302.3744362113402,305.524169921875,27032115
2020-01-13,307.7739976293695,307.7739976293695,305.07422572033994,307.32403564453125,30663332
2020-01-14,310.9236648206766,311.3736267089844,310.023741044061,311.3736267089844,30223993
2020-01-15,310.4737095552332,310.4737095552332,303.7242810866412,305.9740905761719,47434274
2020-01-16,296.9748786960482,302.8243838824855,296.9748786960482,301.0245361328125,55211420
2020-01-17,300.5746065890109,301.92449254674597,298.7747586453641,299.6746826171875,52060097
2020-01-20,300.5746065890109,301.92449254674597,299.6746826171875,299.6746826171875,32658203
2020-01-30,293.3752051861177,293.3752051861177,284.825927734375,284.825927734375,125451049
2020-01-31,290.6754494667053,291.1254114627838,287.0757534980774,287.9756774902344,62526055
2020-02-03,283.4760437011719,284.8259296235584,280.7762718563988,283.4760437011719,59560849
2020-02-04,302.8243428861178,303.2743047626202,292.4752197265625,292.4752197265625,51890496
2020-02-05,296.0749222850072,296.5248841729783,292.02526529326695,294.72503662109375,36601453
2020-02-06,296.5249594322721,299.2247314453125,296.0749974300987,299.2247314453125,29267094
2020-02-07,296.97486598317215,297.4248279013285,293.3751706379216,295.1750183105469,28798327
2020-02-10,289.32549396544016,295.1749985090649,288.875532077469,294.72503662109375,30632424
2020-02-11,297.4248746063555,299.2247225616133,296.974912617541,298.3247985839844,27524935
2020-02-12,300.12454077877214,302.3743499300373,299.6745789485191,301.47442626953125,37612639
2020-02-13,304.17419725104946,304.17419725104946,301.47442626953125,301.47442626953125,22757021
2020-02-14,303.2742735905434,303.2742735905434,301.02446443927823,301.47442626953125,16933683
2020-02-17,298.3247985839844,299.67468455042774,297.4248746063555,298.3247985839844,15937079
2020-02-18,292.02535333100315,293.82520142549316,289.7755432128906,289.7755432128906,61825604
2020-02-19,290.22540876730295,294.2750656338235,289.77544689324515,293.8251037597656,38781218
2020-02-20,295.17510320660523,296.0750273017473,292.47533092117897,292.92529296875,27011736
2020-02-21,292.9251816030649,293.8251053560697,290.67537222055284,292.4752197265625,22813534
2020-02-24,287.52571549415586,289.32556347846986,287.52571549415586,287.9756774902344,41693680
2020-02-25,287.9756951184006,291.12542928375814,285.72588500028814,289.7755432128906,36195011
2020-02-26,285.27587708573515,288.42561074441045,284.8259151344958,286.6257629394531,60479362
2020-02-27,287.07581010649477,287.97573427610763,283.47611342804345,284.37603759765625,61250927
2020-03-02,277.17663142458804,285.2759485766052,277.17663142458804,279.87640380859375,79912942
2020-03-03,286.6257845660833,287.97567052165357,284.3759746401329,285.7258605957031,49679411
2020-03-04,289.77548393927947,289.77548393927947,285.27586462345215,288.42559814453125,42941146
2020-03-05,292.47523210366074,293.3751558947489,290.6753845214844,290.6753845214844,37861525
2020-03-06,287.9756634424603,288.4256254165892,283.4760437011719,283.4760437011719,51546760
2020-03-09,276.72666708888477,278.9764773904204,274.92681884765625,274.92681884765625,87871277
2020-03-10,271.32703034341915,278.0764589589271,270.8770684357186,276.276611328125,71950130
2020-03-11,278.07647513080116,279.426360932407,271.7770080566406,271.7770080566406,62216710
2020-03-12,269.07728742742216,269.07728742742216,258.2781989687965,264.5776672363281,113527351
2020-03-13,247.47904810412174,264.5776005185883,245.22923857590246,260.9779052734375,149995148
2020-03-16,256.4783175642624,261.8778610919311,247.92904031212032,248.82896423339844,103873228
2020-03-17,238.47985452680444,248.8289802892884,238.47985452680444,241.17962646484375,121323651
2020-03-18,242.5294862307035,245.2292578770564,233.98020935058594,233.98020935058594,117437643
2020-03-19,228.98255945021108,229.89122040041033,213.98965377192346,225.34791564941406,160811697
2020-03-20,234.88886893943504,245.33847045898438,232.61721643518518,245.33847045898438,157664726
