Date,Open,High,Low,Close,Volume,Return,MA5,MA10,MA20,Price_Change,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Target
2020-02-07,305.25,305.71,301.55,303.4,28798327,-1.35,301.18,302.01,307.05,-1.85,43.07,-1.54,-1.47,322.48,291.62,0
2020-02-10,297.38,303.4,296.92,302.93,30632424,-0.15,303.49,301.36,306.52,5.55,41.05,-1.45,-1.46,321.73,291.3,0
2020-02-11,305.71,307.56,305.25,306.63,27524935,1.22,304.69,301.22,306.15,0.92,42.76,-1.12,-1.39,320.95,291.35,1
2020-02-12,308.48,310.8,308.02,309.87,37612639,1.06,306.08,301.41,306.29,1.39,41.91,-0.63,-1.24,321.17,291.4,1
2020-02-13,312.65,312.65,309.87,309.87,22757021,0.0,306.54,303.12,306.54,-2.78,45.96,-0.23,-1.04,321.49,291.59,0
2020-02-14,311.72,311.72,309.41,309.87,16933683,0.0,307.83,304.5,306.79,-1.85,50.44,0.07,-0.81,321.79,291.8,0
2020-02-17,306.63,308.02,305.71,306.63,15937079,-1.05,308.57,306.03,306.52,0.0,48.72,0.08,-0.63,321.3,291.73,0
2020-02-18,300.16,302.01,297.85,297.85,61825604,-2.86,306.82,305.75,305.71,-2.31,41.92,-0.53,-0.61,320.53,290.88,0
2020-02-19,298.31,302.47,297.85,302.01,38781218,1.4,305.25,305.66,305.02,3.7,58.93,-0.71,-0.63,319.12,290.91,1
2020-02-20,303.4,304.32,300.62,301.08,27011736,-0.31,303.49,305.01,304.07,-2.32,55.13,-0.91,-0.69,316.34,291.79,0
2020-02-21,301.08,302.01,298.77,300.62,22813534,-0.15,301.64,304.74,303.37,-0.46,60.2,-1.08,-0.77,314.7,292.05,0
2020-02-24,295.53,297.38,295.53,296.0,41693680,-1.54,299.51,304.04,302.7,0.47,44.32,-1.54,-0.92,314.11,291.29,0
2020-02-25,296.0,299.23,293.68,297.85,36195011,0.63,299.51,303.17,302.19,1.85,43.69,-1.75,-1.09,313.51,290.88,1
2020-02-26,293.22,296.46,292.76,294.61,60479362,-1.09,298.03,301.64,301.52,1.39,33.33,-2.13,-1.3,312.97,290.07,0
2020-02-27,295.07,296.0,291.37,292.3,61250927,-0.78,296.28,299.88,301.5,-2.77,35.0,-2.58,-1.55,313.03,289.97,0
2020-03-02,284.9,293.22,284.9,287.67,79912942,-1.58,293.69,297.66,301.08,2.77,31.46,-3.25,-1.89,313.97,288.2,0
2020-03-03,294.61,296.0,292.3,293.68,49679411,2.09,293.22,296.37,301.2,-0.93,35.1,-3.28,-2.17,313.75,288.64,1
